2025-06-06 19:24:24 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:25 | Ether | 192.168.1.2 -> 52.187.79.109
2025-06-06 19:24:25 | Ether | 52.187.79.109 -> 192.168.1.2
2025-06-06 19:24:26 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:26 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:26 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:27 | Ether | 74.125.68.188 -> 192.168.1.2
2025-06-06 19:24:27 | Ether | 192.168.1.2 -> 74.125.68.188
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 52.123.253.102
2025-06-06 19:24:28 | Ether | 52.123.253.102 -> 192.168.1.2
2025-06-06 19:24:28 | Ether | 91.108.56.103 -> 192.168.1.2
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 91.108.56.103
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:28 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:28 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:28 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:28 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:28 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:28 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:28 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:28 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:28 | Ether | 192.168.1.1 -> 192.168.1.2
